m=,100
n=,100
dx=,195.48826902559387,m
dy=,120.09052077612164,m
upper left=,"(-85.84612, 38.29354)"
lower right=,"(-85.61988000000001, 38.18446)"
k,i,j,center_x,center_y
1,1,1,-85.845,38.293
2,1,2,-85.845,38.29192
3,1,3,-85.845,38.29084
4,1,4,-85.845,38.28976
5,1,5,-85.845,38.28868
6,1,6,-85.845,38.2876
7,1,7,-85.845,38.286519999999996
8,1,8,-85.845,38.28544
9,1,9,-85.845,38.28436
10,1,10,-85.845,38.28328
11,1,11,-85.845,38.2822
12,1,12,-85.845,38.28112
13,1,13,-85.845,38.28004
14,1,14,-85.845,38.27896
15,1,15,-85.845,38.277879999999996
16,1,16,-85.845,38.2768
17,1,17,-85.845,38.27572
18,1,18,-85.845,38.27464
19,1,19,-85.845,38.27356
20,1,20,-85.845,38.27248
21,1,21,-85.845,38.2714
22,1,22,-85.845,38.27032
23,1,23,-85.845,38.269239999999996
24,1,24,-85.845,38.26816
25,1,25,-85.845,38.26708
26,1,26,-85.845,38.266
27,1,27,-85.845,38.264920000000004
28,1,28,-85.845,38.26384
29,1,29,-85.845,38.26276
30,1,30,-85.845,38.26168
31,1,31,-85.845,38.2606
32,1,32,-85.845,38.25952
33,1,33,-85.845,38.25844
34,1,34,-85.845,38.25736
35,1,35,-85.845,38.256280000000004
36,1,36,-85.845,38.2552
37,1,37,-85.845,38.25412
38,1,38,-85.845,38.25304
39,1,39,-85.845,38.25196
40,1,40,-85.845,38.25088
41,1,41,-85.845,38.2498
42,1,42,-85.845,38.24872
43,1,43,-85.845,38.247640000000004
44,1,44,-85.845,38.24656
45,1,45,-85.845,38.24548
46,1,46,-85.845,38.2444
47,1,47,-85.845,38.24332
48,1,48,-85.845,38.24224
49,1,49,-85.845,38.24116
50,1,50,-85.845,38.24008
51,1,51,-85.845,38.239000000000004
52,1,52,-85.845,38.23792
53,1,53,-85.845,38.23684
54,1,54,-85.845,38.23576
55,1,55,-85.845,38.23468
56,1,56,-85.845,38.2336
57,1,57,-85.845,38.23252
58,1,58,-85.845,38.23144
59,1,59,-85.845,38.230360000000005
60,1,60,-85.845,38.22928
61,1,61,-85.845,38.2282
62,1,62,-85.845,38.22712
63,1,63,-85.845,38.22604
64,1,64,-85.845,38.22496
65,1,65,-85.845,38.22388
66,1,66,-85.845,38.2228
67,1,67,-85.845,38.221720000000005
68,1,68,-85.845,38.22064
69,1,69,-85.845,38.21956
70,1,70,-85.845,38.21848
71,1,71,-85.845,38.2174
72,1,72,-85.845,38.21632
73,1,73,-85.845,38.21524
74,1,74,-85.845,38.21416
75,1,75,-85.845,38.213080000000005
76,1,76,-85.845,38.212
77,1,77,-85.845,38.21092
78,1,78,-85.845,38.20984
79,1,79,-85.845,38.20876
80,1,80,-85.845,38.20768
81,1,81,-85.845,38.2066
82,1,82,-85.845,38.20552
83,1,83,-85.845,38.204440000000005
84,1,84,-85.845,38.20336
85,1,85,-85.845,38.20228
86,1,86,-85.845,38.2012
87,1,87,-85.845,38.20012
88,1,88,-85.845,38.199040000000004
89,1,89,-85.845,38.19796
90,1,90,-85.845,38.19688
91,1,91,-85.845,38.195800000000006
92,1,92,-85.845,38.194720000000004
93,1,93,-85.845,38.19364
94,1,94,-85.845,38.19256
95,1,95,-85.845,38.19148
96,1,96,-85.845,38.190400000000004
97,1,97,-85.845,38.18932
98,1,98,-85.845,38.18824
99,1,99,-85.845,38.187160000000006
100,1,100,-85.845,38.186080000000004
101,2,1,-85.84276,38.293
102,2,2,-85.84276,38.29192
103,2,3,-85.84276,38.29084
104,2,4,-85.84276,38.28976
105,2,5,-85.84276,38.28868
106,2,6,-85.84276,38.2876
107,2,7,-85.84276,38.286519999999996
108,2,8,-85.84276,38.28544
109,2,9,-85.84276,38.28436
110,2,10,-85.84276,38.28328
111,2,11,-85.84276,38.2822
112,2,12,-85.84276,38.28112
113,2,13,-85.84276,38.28004
114,2,14,-85.84276,38.27896
115,2,15,-85.84276,38.277879999999996
116,2,16,-85.84276,38.2768
117,2,17,-85.84276,38.27572
118,2,18,-85.84276,38.27464
119,2,19,-85.84276,38.27356
120,2,20,-85.84276,38.27248
121,2,21,-85.84276,38.2714
122,2,22,-85.84276,38.27032
123,2,23,-85.84276,38.269239999999996
124,2,24,-85.84276,38.26816
125,2,25,-85.84276,38.26708
126,2,26,-85.84276,38.266
127,2,27,-85.84276,38.264920000000004
128,2,28,-85.84276,38.26384
129,2,29,-85.84276,38.26276
130,2,30,-85.84276,38.26168
131,2,31,-85.84276,38.2606
132,2,32,-85.84276,38.25952
133,2,33,-85.84276,38.25844
134,2,34,-85.84276,38.25736
135,2,35,-85.84276,38.256280000000004
136,2,36,-85.84276,38.2552
137,2,37,-85.84276,38.25412
138,2,38,-85.84276,38.25304
139,2,39,-85.84276,38.25196
140,2,40,-85.84276,38.25088
141,2,41,-85.84276,38.2498
142,2,42,-85.84276,38.24872
143,2,43,-85.84276,38.247640000000004
144,2,44,-85.84276,38.24656
145,2,45,-85.84276,38.24548
146,2,46,-85.84276,38.2444
147,2,47,-85.84276,38.24332
148,2,48,-85.84276,38.24224
149,2,49,-85.84276,38.24116
150,2,50,-85.84276,38.24008
151,2,51,-85.84276,38.239000000000004
152,2,52,-85.84276,38.23792
153,2,53,-85.84276,38.23684
154,2,54,-85.84276,38.23576
155,2,55,-85.84276,38.23468
156,2,56,-85.84276,38.2336
157,2,57,-85.84276,38.23252
158,2,58,-85.84276,38.23144
159,2,59,-85.84276,38.230360000000005
160,2,60,-85.84276,38.22928
161,2,61,-85.84276,38.2282
162,2,62,-85.84276,38.22712
163,2,63,-85.84276,38.22604
164,2,64,-85.84276,38.22496
165,2,65,-85.84276,38.22388
166,2,66,-85.84276,38.2228
167,2,67,-85.84276,38.221720000000005
168,2,68,-85.84276,38.22064
169,2,69,-85.84276,38.21956
170,2,70,-85.84276,38.21848
171,2,71,-85.84276,38.2174
172,2,72,-85.84276,38.21632
173,2,73,-85.84276,38.21524
174,2,74,-85.84276,38.21416
175,2,75,-85.84276,38.213080000000005
