m=,50
n=,50
dx=,504.7113187538087,m
dy=,310.1360176192224,m
k,i,j,center_x_WebMercator,center_y_WebMercator,center_x_WGS84,center_y_WGS84
1,1,1,-9556221.68714857,4620899.974214424,-85.84499999999998,38.29300000000001
2,1,2,-9556221.68714857,4620589.838196805,-85.84499999999998,38.290813369738544
3,1,3,-9556221.68714857,4620279.702179186,-85.84499999999998,38.288626673591715
4,1,4,-9556221.68714857,4619969.566161566,-85.84499999999998,38.28643991156072
5,1,5,-9556221.68714857,4619659.430143948,-85.84499999999998,38.28425308364677
6,1,6,-9556221.68714857,4619349.294126328,-85.84499999999998,38.28206618985104
7,1,7,-9556221.68714857,4619039.158108709,-85.84499999999998,38.27987923017476
8,1,8,-9556221.68714857,4618729.02209109,-85.84499999999998,38.2776922046191
9,1,9,-9556221.68714857,4618418.886073471,-85.84499999999998,38.275505113185304
10,1,10,-9556221.68714857,4618108.750055851,-85.84499999999998,38.273317955874546
11,1,11,-9556221.68714857,4617798.614038232,-85.84499999999998,38.27113073268803
12,1,12,-9556221.68714857,4617488.478020613,-85.84499999999998,38.26894344362697
13,1,13,-9556221.68714857,4617178.342002993,-85.84499999999998,38.26675608869256
14,1,14,-9556221.68714857,4616868.205985375,-85.84499999999998,38.26456866788602
15,1,15,-9556221.68714857,4616558.069967755,-85.84499999999998,38.262381181208525
16,1,16,-9556221.68714857,4616247.933950136,-85.84499999999998,38.26019362866132
17,1,17,-9556221.68714857,4615937.797932517,-85.84499999999998,38.258006010245566
18,1,18,-9556221.68714857,4615627.661914897,-85.84499999999998,38.2558183259625
19,1,19,-9556221.68714857,4615317.525897278,-85.84499999999998,38.253630575813325
20,1,20,-9556221.68714857,4615007.389879659,-85.84499999999998,38.25144275979923
21,1,21,-9556221.68714857,4614697.25386204,-85.84499999999998,38.24925487792145
22,1,22,-9556221.68714857,4614387.1178444205,-85.84499999999998,38.24706693018117
23,1,23,-9556221.68714857,4614076.981826802,-85.84499999999998,38.2448789165796
24,1,24,-9556221.68714857,4613766.845809182,-85.84499999999998,38.24269083711796
25,1,25,-9556221.68714857,4613456.709791563,-85.84499999999998,38.24050269179746
26,1,26,-9556221.68714857,4613146.573773944,-85.84499999999998,38.23831448061929
27,1,27,-9556221.68714857,4612836.437756324,-85.84499999999998,38.23612620358467
28,1,28,-9556221.68714857,4612526.3017387055,-85.84499999999998,38.233937860694816
29,1,29,-9556221.68714857,4612216.165721086,-85.84499999999998,38.23174945195093
30,1,30,-9556221.68714857,4611906.029703467,-85.84499999999998,38.22956097735423
31,1,31,-9556221.68714857,4611595.8936858475,-85.84499999999998,38.22737243690592
32,1,32,-9556221.68714857,4611285.757668229,-85.84499999999998,38.22518383060722
33,1,33,-9556221.68714857,4610975.621650609,-85.84499999999998,38.222995158459334
34,1,34,-9556221.68714857,4610665.4856329905,-85.84499999999998,38.22080642046348
35,1,35,-9556221.68714857,4610355.349615371,-85.84499999999998,38.21861761662087
36,1,36,-9556221.68714857,4610045.213597751,-85.84499999999998,38.21642874693271
37,1,37,-9556221.68714857,4609735.0775801325,-85.84499999999998,38.21423981140023
38,1,38,-9556221.68714857,4609424.941562513,-85.84499999999998,38.212050810024635
39,1,39,-9556221.68714857,4609114.805544894,-85.84499999999998,38.20986174280714
40,1,40,-9556221.68714857,4608804.669527275,-85.84499999999998,38.207672609748954
41,1,41,-9556221.68714857,4608494.533509656,-85.84499999999998,38.2054834108513
